2012-08-12 17:19:50 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:51 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:51 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:52 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:52 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:52 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:52 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:20:55 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:20:56 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:24:39 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
